feature,importance
smooth_metric_raw,132249279.05269623
cov_change_dir,5220612.066399574
cov_diff,4519647.93979454
num_samples_scaled,4514337.5636971
junc_len_raw,4073816.468800068
perc_cov_diff,3358709.8500258923
perc_binarized,1357156.3806653023
