feature,importance
smooth_metric_scaled,132449646.80476618
junc_len_log,9361937.003770351
cov_change_dir,5254719.345144272
cov_diff,4671516.765206814
num_samples_scaled,4438908.5332484245
perc_cov_diff,3538883.0929062366
perc_binarized,1346375.6984324455
